(71310,34923)
(88599,85816)
(21083,109915)
(51577,101727)
(40460,50627)
(70283,89782)
(76460,76554)
(65167,58996)
(36651,39185)
(3885,24839)
(21173,30091)
(81510,66347)
(76625,36026)
(79557,96946)
(102002,97318)
(87129,56330)
(44598,47483)
(73545,73514)
(74966,74740)
(70526,89909)
(64062,42876)
(77545,77563)
(74529,73810)
(107586,23182)
(87229,87416)
(24725,49334)
(41974,15764)
(37690,12148)
(107968,98873)
(26970,26944)
(12895,558)
(89225,111483)
(38326,35127)
(558,37138)
(20425,3076)
(70503,74762)
(39096,65242)
(88209,43161)
(47497,9967)
(56579,80905)
(18086,96109)
(53910,17887)
(8557,100962)
(22451,21984)
(46479,43930)
(57606,80846)
(34366,62104)
(54822,85496)
(63716,89106)
(17084,11983)
(12706,89847)
(73704,65237)
(71179,71167)
(26984,13275)
(13348,17042)
(54440,65664)
(79833,86057)
(87212,87162)
(63250,11916)
(43937,2510)
(30485,18672)
(31766,68925)
(84863,103077)
(36651,43186)
(100309,33626)
(60003,47594)
(41223,106227)
(106876,21560)
(68785,79324)
(92410,37096)
(78357,83431)
(36621,87323)
(64434,2860)
(64287,78230)
(103214,94576)
(29049,28220)
(104476,100090)
(34664,89990)
(74730,70169)
(112187,111991)
(108707,42258)
(92647,60262)
(50858,91512)
(2539,51311)
(73282,17076)
(3887,16632)
(70847,70186)
(58472,48145)
(34185,84829)
(34923,36026)
(23482,50461)
(53177,87860)
(39185,27839)
(52171,51228)
(91594,28715)
(78657,78429)
(95833,85792)
(81569,38344)
(85820,54606)
(80130,89032)
(57347,71744)
(93303,86622)
(9199,11843)
(60461,40241)
(54316,64889)
(46425,648)
(46708,25653)
(78787,78778)
(4330,15994)
(61248,45566)
(35105,72853)
(36994,4430)
(74527,78576)
(109180,19620)
(70527,71168)
(13040,101443)
(80928,95052)
(54343,52776)
(49447,71744)
(74762,70461)
(31467,70283)
(78647,78812)
(33637,54996)
(58457,49734)
(70795,71176)
(5938,2447)
(108691,98094)
(77785,64726)
(3656,61176)
(33434,43857)
(72338,53023)
(42403,45812)
(68785,79912)
(109906,99156)
(24926,67957)
(71173,70841)
(87412,87360)
(34773,86060)
(27534,51752)
(101289,58030)
(10701,49231)
(28783,27803)
(60034,55259)
(108956,92894)
(79831,38812)
(33228,41749)
(111198,78877)
(66283,65664)
(46076,37039)
(12545,4990)
(107518,78920)
(15647,7097)
(35611,37184)
(62250,86049)
(87258,87371)
(80579,68402)
(37293,34545)
(69301,53496)
(98309,105828)
(35132,50464)
(87081,87258)
(307,36622)
(37159,53755)
(23086,27720)
(15024,26627)
(21086,19020)
(88340,89716)
(24227,76460)
(29976,45226)
(37653,87536)
(45540,73854)
(19741,54822)
(52088,71170)
(101354,100464)
(49735,110566)
(22717,60231)
(65167,26676)
(17076,8949)
(50464,67297)
(67959,54166)
(74964,74765)
(95852,111592)
(21552,90667)
(56947,47699)
(74769,70265)
(19644,14255)
(62275,63281)
(11623,63711)
(29039,48500)
(11117,51158)
(43674,86812)
(71161,96681)
(74177,72290)
(57812,17076)
(54370,26420)
(31808,77382)
(31006,44497)
(104087,106377)
(28850,101545)
(109642,40632)
(16779,7077)
(79276,79856)
(21484,39345)
(46825,37195)
(99688,33213)
(81742,88765)
(25970,51269)
(70804,74705)
(10092,38597)
(7698,27200)
(100871,5607)
(15900,78745)
(31870,57640)
(100779,97412)
(84113,76474)
(109144,67344)
(469,10977)
(34989,58996)
(12569,24694)
(49561,78761)
(43630,39983)
(89246,29065)
(23832,66299)
(110131,78877)
(29434,21380)
(88264,100779)
(109803,96832)
(37195,61366)
(87420,87427)
(21091,29709)
(78190,80100)
(94423,8715)
(70210,70242)
(47032,61800)
(40733,38812)
(37004,107229)
(78656,77847)
(19741,69686)
(87341,87156)
(17266,20230)
(71127,70818)
(40998,72313)
(78787,78812)
(57347,58041)
(74761,70185)
(49786,62385)
(7515,18615)
(69058,75871)
(90912,55748)
(85878,86049)
(9958,104633)
(86065,86057)
(75014,74452)
(69316,33274)
(70532,71179)
(16925,42463)
(648,46479)
(87432,87412)
(48576,31808)
(86057,107761)
(38778,47829)
(44974,41064)
(46425,43930)
(27060,23580)
(63457,49418)
(18494,32624)
(66774,40873)
(21394,22030)
(95849,109731)
(35240,15108)
(77315,52997)
(105727,79009)
(87367,87237)
(29049,86062)
(8621,9517)
(69137,88946)
(112337,61333)
(97705,41539)
(106305,104730)
(41453,48805)
(66280,62725)
(40251,36425)
(57893,60733)
(89716,111630)
(16010,63299)
(32865,64640)
(41603,87415)
(11204,57884)
(82160,49447)
(73857,73854)
(77596,77541)
(10146,60672)
(74733,70860)
(60226,112291)
(58899,93611)
(76246,94848)
(39689,44783)
(87081,87371)
(96977,79213)
(109916,69085)
(22030,22415)
(110566,85878)
(93776,102002)
(61853,62385)
(32903,14571)
(74768,70804)
(48612,43167)
(112337,62250)
(28141,44800)
(32585,90082)
(25553,11472)
(70884,74768)
(21540,29302)
(62725,59884)
(90288,66890)
(86302,107921)
(79213,101377)
(28583,11988)
(86646,51158)
(57429,50305)
(99203,53772)
(20515,28058)
(70264,74966)
(70535,70185)
(89990,102549)
(49104,18139)
(74169,73497)
(77011,76992)
(88340,101863)
(67014,69363)
(66278,62705)
(38170,73326)
(5701,28364)
(76625,62359)
(66268,22125)
(69301,42119)
(76216,43139)
(73514,74231)
(14571,81290)
(41013,22927)
(81002,85084)
(73841,37959)
