(77003,74765)
(6103,39842)
(51400,45037)
(72299,69337)
(67079,10469)
(12420,28065)
(48061,63983)
(47973,81715)
(11416,8353)
(38743,36513)
(87075,25763)
(90102,100569)
(1428,16782)
(13191,43982)
(48109,98168)
(30064,97240)
(517,31193)
(5961,30784)
(56666,75278)
(37318,43681)
(25168,11579)
(27626,30098)
(9108,19274)
(75845,74474)
(21637,10287)
(21173,30091)
(81510,66347)
(98914,42734)
(1229,22467)
(19053,22044)
(94350,101776)
(512,6052)
(35210,15354)
(76986,72245)
(43775,43809)
(44447,3544)
(42779,77259)
(37608,78192)
(87663,84337)
(70532,74733)
(45407,23851)
(20861,20295)
(1267,8567)
(74140,72974)
(110702,103590)
(42635,100485)
(74448,69616)
(68741,69627)
(50271,57255)
(68327,54257)
(7036,44904)
(13092,97191)
(5434,25599)
(71343,49817)
(108470,109234)
(74966,74740)
(28608,10218)
(98126,66501)
(74768,77683)
(89586,97262)
(68524,63452)
(104841,93374)
(70553,74768)
(11793,27090)
(110104,107677)
(79345,91016)
(6229,94980)
(27123,16608)
(24884,92074)
(25303,45377)
(48997,24766)
(61098,43419)
(47468,92770)
(22320,54580)
(42173,103012)
(109302,108498)
(22092,20840)
(78523,89875)
(90326,98338)
(98240,22720)
(26997,24633)
(70238,74152)
(70258,73501)
(68129,72253)
(72299,70523)
(64244,1236)
(52963,95846)
(30080,28398)
(76747,72245)
(73481,70863)
(78784,73463)
(17008,12455)
(88074,55558)
(45607,13437)
(72864,98484)
(97256,50918)
(51363,29547)
(70503,74762)
(26776,40814)
(74417,70242)
(70499,72289)
(15016,87460)
(26887,62134)
(3431,76552)
(74768,77666)
(59887,13763)
(4795,4270)
(10613,31910)
(64323,99216)
(31524,38788)
(6343,5059)
(29185,23114)
(22247,96137)
(77683,72974)
(5142,9679)
(23621,21491)
(8661,94577)
(23621,93936)
(84171,31835)
(71116,70503)
(94186,97139)
(19013,4991)
(2974,6396)
(3392,18451)
(77268,77232)
(19496,19798)
(104592,98893)
(107751,110936)
(38677,39808)
(76992,70271)
(70466,71122)
(71179,71167)
(22444,64511)
(68414,33656)
(6186,83219)
(46681,42254)
(70189,69587)
(69328,76759)
(66585,53342)
(74172,76989)
(69651,70270)
(74778,70837)
(45519,46966)
(36484,18502)
(27661,78192)
(59881,74157)
(74113,70808)
(72680,49024)
(42995,73749)
(54605,43932)
(13677,50175)
(47203,27875)
(66466,25091)
(32063,21554)
(13019,48615)
(38866,40756)
(15594,6782)
(55064,48660)
(75251,73490)
(79963,1908)
(96998,99345)
(73497,68741)
(72483,74418)
(48276,108932)
(40788,74827)
(4153,31717)
(20965,100496)
(11929,38998)
(75434,40374)
(1817,4679)
(26846,71447)
(382,896)
(74522,41665)
(20923,71698)
(74152,69645)
(64438,43091)
(70852,74721)
(57780,74688)
(109248,104505)
(70870,71098)
(111392,103553)
(70809,70189)
(26608,104256)
(33177,42456)
(72286,76966)
(11929,50161)
(94661,16046)
(37849,96354)
(1428,62274)
(39514,51120)
(72279,70787)
(74730,70169)
(95037,59182)
(8611,28134)
(105703,50795)
(6076,8727)
(102796,29547)
(75815,75025)
(84181,83705)
(109674,38375)
(15825,25702)
(51080,43666)
(34618,47030)
(92663,31578)
(60693,81460)
(9941,100015)
(46451,69094)
(3190,48930)
(2539,51311)
(91664,72004)
(61097,78890)
(13676,2488)
(37430,94835)
(70461,70271)
(70847,70186)
(94960,51749)
(26684,44469)
(108114,108522)
(74113,69651)
(66177,27565)
(53978,79286)
(73481,76969)
(12712,14085)
(73490,69315)
(76056,54013)
(66572,105435)
(38532,78596)
(54703,70989)
(10243,87026)
(81288,2704)
(27558,12345)
(110103,46275)
(70265,74965)
(99103,104597)
(81015,87561)
(77494,32341)
(70503,74958)
(74964,70849)
(85820,54606)
(71169,71128)
(74155,76979)
(70177,69600)
(66886,76991)
(72989,74962)
(73490,70230)
(33895,110104)
(40814,46975)
(33627,31212)
(66177,14224)
(40049,42613)
(39932,102743)
(35999,108278)
(20807,37223)
(97119,27146)
(96137,91778)
(51363,99896)
(85007,26204)
(12742,32603)
(54965,27943)
(108817,84058)
(70527,71168)
(74132,69328)
(6762,12717)
(98829,92818)
(70806,74391)
(36985,78944)
(27929,90499)
(10556,12305)
(84649,56728)
(51862,72904)
(36131,104827)
(41395,35571)
(72974,69250)
(56471,43785)
(32999,62937)
(43350,16419)
(74762,70461)
(8086,25065)
(70840,74732)
(76969,73497)
(68289,16148)
(74776,69613)
(16597,76132)
(60265,43617)
(80503,82917)
(107622,107804)
(70845,76967)
(67586,43307)
(65020,37591)
(78028,53652)
(16420,44469)
(69587,70498)
(53459,56067)
(70795,71176)
(76766,74707)
(61155,22208)
(48135,44730)
(72299,72974)
(32132,28687)
(43251,74522)
(42802,102146)
(5938,2447)
(57092,16597)
(76992,74765)
(45871,45059)
(77003,70874)
(21031,5425)
(77470,51278)
(70863,74726)
(74136,70845)
(71218,54605)
(70161,70169)
(29682,11248)
(30134,20547)
(70514,70495)
(8756,15882)
(69645,72250)
(24114,1072)
(25504,12142)
(79809,79315)
(43081,6998)
(91674,106794)
(74778,76991)
(91248,49524)
(19559,62491)
(53557,17433)
(5483,107677)
(47870,5558)
(109923,109223)
(70874,74132)
(59963,23170)
(38860,12308)
(43256,12368)
(109709,108538)
(107980,101985)
(18145,859)
(73511,71106)
(1179,18425)
(39496,83908)
(27848,73745)
(27496,58070)
(70495,72279)
(53083,44619)
(53589,47304)
(68790,30117)
(68783,66929)
(71173,70841)
(76503,39535)
(2463,2494)
(78295,70306)
(51162,2805)
(49240,82911)
(66886,74177)
(92226,41266)
(7944,2297)
(72290,74137)
(70840,76992)
(67586,62439)
(78354,74861)
(71098,70230)
(49291,67930)
(15426,40281)
(70808,71116)
(81460,24528)
(100796,57784)
(74448,72289)
(8444,71981)
(25402,69634)
(69328,74768)
(74300,26724)
(28783,27803)
(70809,70250)
(76966,70461)
(24557,3)
(21627,61160)
(27156,29257)
(98250,109955)
(71134,74152)
(107622,108764)
(20783,75212)
(2700,60397)
(12545,4990)
(1355,2133)
(28074,16067)
(106774,109876)
(4465,72908)
(2966,29780)
(68163,76985)
(70547,71184)
(74172,76977)
(84111,30018)
(11793,77825)
(73375,48930)
(74775,68163)
(105117,97240)
(58236,16294)
(61893,66044)
(57916,44368)
(110168,71242)
(56718,26370)
(72482,74726)
(53798,94897)
(67045,44028)
(73745,82956)
(26845,54924)
(70839,72250)
(50863,30310)
(70499,70808)
(70532,70840)
(75254,73497)
(47826,22555)
(30827,3578)
(74177,76969)
(18451,85002)
(154,3992)
(70461,70189)
(70884,76766)
(32261,31630)
(4763,23426)
(17217,73564)
(72974,71134)
(74278,29598)
(9744,229)
(5966,4990)
(72279,70532)
(76529,74967)
(80726,53793)
(86508,95153)
(9563,23264)
(110722,102415)
(50885,49756)
(12095,32295)
(9089,17540)
(72994,70808)
(30134,2407)
(38941,57433)
(54350,18395)
(39564,101240)
(30060,62441)
(65335,30188)
(110106,109223)
(41650,32195)
(26255,25339)
(71559,83942)
(70839,74966)
(97341,105446)
(10708,14546)
(50880,52420)
(8086,50359)
(99079,99345)
(21891,53896)
(734,36841)
(51508,58232)
(94245,102541)
(29951,86807)
(25151,5312)
(22083,5413)
(111293,103553)
(3067,23979)
(9178,5449)
(12230,23302)
(74964,74765)
(33734,73060)
(95030,101985)
(91557,92639)
(25163,96006)
(99243,24111)
(74769,70265)
(33914,53836)
(72245,74152)
(38653,29007)
(28412,60384)
(75824,75054)
(69637,76969)
(67700,110348)
(54009,54703)
(10906,8752)
(52608,26522)
(9911,12500)
(29623,87813)
(9675,37934)
(43226,101519)
(74177,72290)
(66129,62866)
(11603,20215)
(110109,107701)
(8046,26193)
(95334,82052)
(67008,49914)
(61571,22592)
(70532,71128)
(107804,8263)
(82248,94013)
(74137,70170)
(31886,50533)
(79977,16964)
(73490,74768)
(72483,70238)
(103690,67817)
(93644,104494)
(77683,70461)
(76993,74732)
(88198,98599)
(97917,48109)
(23511,33703)
(16669,20153)
(106785,107839)
(61786,97722)
(70804,74705)
(43565,64053)
(90296,42635)
(63429,61820)
(68455,68251)
(38520,112056)
(66374,70532)
(51225,65052)
(12290,12740)
(94939,76868)
(39527,43201)
(108483,108734)
(103931,102460)
(44268,63648)
(74768,76969)
(1305,68144)
(84113,76474)
(33661,21606)
(30847,37430)
(33077,99557)
(27117,92672)
(71536,5299)
(109234,108245)
(24210,6546)
(22563,71927)
(22659,55388)
