Source,Target,Timestamp
1752,93926,15
1752,95325,15
1752,96474,15
1752,101793,15
1752,104350,15
1754,2666,15
1754,6853,15
1754,32119,15
1754,81589,15
1754,83348,15
1758,87531,113
1763,36512,17
1774,30178,17
1782,74633,116
1788,9078,17
1812,364,15
1812,370,15
1812,411,15
1812,1062,15
1812,1768,15
1812,2521,123
1812,3690,15
1812,5024,15
1812,10339,15
1812,16800,15
1812,19665,15
1812,82119,15
1814,29221,15
1814,33951,15
1814,80878,15
1814,97866,15
1814,99519,15
1814,100483,15
1824,3841,113
1824,17523,113
1836,3481,15
1839,2528,17
1840,14559,123
1845,41676,15
1857,4202,15
1857,19541,15
1857,63931,15
1865,17367,113
1869,84527,15
1879,633,113
1879,689,123
1879,2430,113
1879,82535,17
1891,75878,113
1903,50090,17
1903,96956,17
1912,88146,116
1950,7497,123
1999,1340,15
2004,174,123
2004,18998,116
2004,20256,113
2007,80591,113
2014,2329,15
2014,8237,15
2014,9379,15
2014,41443,15
2028,108223,113
2037,107066,17
2053,8618,116
2053,19847,116
2061,6862,15
2065,6905,17
2081,44104,123
2087,6651,15
2087,17659,15
2087,19703,15
2087,20001,15
2087,23442,15
2087,23873,15
2087,25646,120
2087,26234,15
2087,29626,15
2087,39800,15
2087,59850,15
2087,68147,15
2087,91411,15
2163,110794,15
2168,110074,116
2170,1250,15
2170,35625,15
2173,1737,17
2190,102771,17
2196,2998,15
2199,2249,15
2199,8098,15
2199,25399,15
2199,36661,15
2199,95779,15
2199,96826,15
2215,15258,113
2246,8096,15
2272,14217,116
2300,76,15
2313,22175,19
2313,64202,123
2316,102787,120
2330,97245,113
2333,79116,15
2340,697,113
2347,20884,120
2354,36066,113
2370,2047,116
2378,2681,116
2397,8219,15
2398,7135,15
2400,101491,19
2402,27695,15
2404,52014,17
2414,43290,17
2421,65507,113
2423,891,113
2423,34890,113
2451,792,15
2451,1120,15
2451,3323,15
2451,18266,15
2451,22162,15
2467,406,120
2486,82552,116
2496,77945,15
2499,108690,15
2515,40980,15
2515,59743,19
2515,92416,116
2521,1812,123
2526,40592,19
2564,1793,15
2564,15323,15
2564,17489,15
2564,78443,15
2564,83493,15
2564,93925,15
2570,29732,19
2571,14410,17
2571,26471,17
2571,75819,17
2571,82896,17
2571,87026,17
2571,101749,17
2571,106023,17
2571,111629,17
2577,681,15
2577,1384,15
2577,2305,15
2577,2398,15
2577,2972,15
2577,4519,15
2577,4644,15
2577,4875,15
2577,7679,15
2577,10047,15
2577,10410,15
2577,81065,15
2577,100837,15
2605,43568,15
2609,85751,116
2613,105926,15
2614,60584,120
2615,34123,15
2615,35508,15
2624,4410,15
2643,66162,120
2649,2515,113
2649,5719,113
2649,5930,120
2649,22013,17
2656,110794,15
2685,280,15
2685,4659,15
2685,14533,15
2688,7889,19
2688,47044,120
2692,60364,116
2698,131,113
2708,4241,15
2713,406,123
2746,83762,113
2768,7076,113
2777,3869,19
2780,46425,15
2806,64395,113
2807,8074,15
2809,4863,113
2818,108655,120
2872,25458,17
2877,30144,19
2886,36614,19
2886,105712,17
2889,11295,15
2912,17547,15
2916,22013,15
2921,30248,120
2947,4191,15
2947,4248,15
2947,11732,15
2947,14364,15
2947,14801,15
2947,19915,15
2947,40158,15
2947,42424,15
2947,50969,15
2947,70311,15
2950,14784,15
2950,45922,15
2950,74788,15
2954,22273,113
2958,4890,116
2966,30869,15
2973,110074,15
2994,8290,15
2998,2196,15
2999,6880,116
3010,11696,15
3014,46451,17
3019,1314,116
3044,7745,113
3044,45487,15
3047,4548,15
3047,5074,15
3047,6751,15
3047,11556,15
3047,12622,15
3047,15317,15
3047,20381,15
3047,21706,15
3054,45391,15
3054,78626,15
3054,78628,15
3057,8200,120
3074,9815,113
3087,27609,15
3087,57658,15
3087,87503,15
3096,14600,120
3103,30900,15
3114,40402,17
3116,45420,120
3125,5562,15
3125,44896,15
3136,27717,15
3138,103181,120
3150,67266,15
3184,8189,116
3187,1541,15
3187,2158,15
3187,2373,15
3187,5222,15
3187,43413,15
3187,47443,15
3187,105647,15
3190,92321,123
3196,45637,15
3196,84724,15
3196,104272,15
3221,2488,15
3221,2853,15
3221,4528,15
3221,4964,15
3221,10193,15
3221,11284,15
3221,11687,15
3221,14363,15
3221,16077,15
3221,16141,15
3221,16727,15
3221,19845,15
3221,26217,15
3221,28611,15
3221,29876,15
3221,43727,15
3221,49062,15
3221,49084,15
3221,58633,15
3221,70358,15
3221,84079,15
3221,84292,15
3221,88884,15
3221,89717,15
3221,95507,15
3234,1444,15
3234,2016,15
3234,15250,15
3234,43861,15
3238,3629,15
3238,5015,15
3238,8218,15
3238,14626,15
3238,15097,15
3250,1256,17
3251,3681,120
3264,83746,116
3266,95661,15
3271,28961,113
3275,2118,120
3289,48154,123
3291,108991,19
3302,111295,15
3313,65131,17
3331,649,113
3342,44960,15
3342,46705,15
3347,4890,116
3347,31014,113
3347,34527,113
3347,93084,113
3350,8250,116
3352,1572,113
3353,2399,120
3373,440,19
3373,1892,15
3373,25294,113
3389,4908,15
3389,6322,15
3389,39297,15
3389,77560,15
3389,89415,15
3397,57617,120
3431,104355,123
3432,51252,15
3432,70752,15
3434,53816,113
3444,109682,113
3458,15110,113
3463,14748,19
3479,45743,120
3480,1471,113
3493,37720,113
3494,38806,120
3575,4445,19
3578,21491,15
3584,14061,113
3611,108690,123
3632,109878,17
3635,406,123
3663,68332,15
3673,107425,113
3681,4960,113
3682,26301,15
3682,37226,15
3682,90002,15
3682,90420,15
3694,7132,19
3697,44207,17
3697,105431,17
3707,20729,15
3714,1117,15
3714,38126,15
3714,39460,15
3714,81942,15
3714,91686,15
3725,3099,15
3751,95733,15
3763,62177,123
3769,23871,120
3771,51,15
3771,7306,15
3771,34966,15
3771,58199,15
3773,17696,113
3773,36633,15
3773,69033,15
3773,78198,15
3777,51543,15
3777,55946,15
3777,56966,15
3777,82036,15
3777,91006,15
3791,11694,17
3791,20592,19
3791,91507,17
3799,5848,15
3799,6225,15
3799,8136,15
3799,8775,15
3799,14114,15
3799,17391,15
3799,21012,15
3799,25454,15
3799,32891,15
3799,33263,15
3799,33998,15
3799,48973,15
3799,78681,15
3799,79935,15
3799,84102,15
3799,107262,15
3809,5744,113
3811,23309,120
3856,39903,15
3867,3440,15
3867,48997,15
3867,59393,15
3883,15,15
3884,43881,113
3894,95458,123
3904,110022,17
3908,46878,17
3911,3560,15
3911,3898,15
3911,3909,15
3911,5439,15
3911,9813,15
3911,13828,15
3911,16615,15
3911,16909,15
3911,23578,15
3911,29067,15
3911,37800,15
3911,37820,15
3911,40100,15
3911,42456,15
3911,48090,15
3911,48350,15
3911,57129,15
3911,85381,15
3911,97898,15
3912,1568,15
3912,91132,15
3924,24506,15
3936,62177,123
3951,6515,113
3976,4858,113
3976,110044,113
3978,8194,15
3978,63835,15
3978,64738,15
3998,2729,15
3998,3013,15
3998,3646,15
3998,3669,15
3998,5325,15
3998,6780,15
3998,6917,15
3998,6948,15
3998,13707,15
3998,14263,15
3998,30115,15
3998,73996,15
4007,104963,123
4013,227,15
4014,3101,116
4025,65072,116
4027,94090,17
4029,64258,17
4035,56682,15
4044,20314,15
4044,62003,15
4044,90561,15
4044,90675,15
4060,406,123
4060,26799,17
4062,4661,15
4062,95341,15
4081,77891,113
4100,38527,15
4105,11847,120
4115,21876,15
4116,36335,17
4131,53974,123
4136,60098,113
4143,10632,19
4149,6407,15
4149,50028,15
4165,101024,113
4179,93526,17
4186,4400,15
4189,87810,15
4191,30869,19
4195,67148,113
4198,1350,15
4198,2997,15
4198,30773,15
4198,39106,15
4198,81994,15
4202,11385,15
4208,7217,113
4209,82552,120
4209,100016,113
4215,18137,123
4237,22268,120
4241,6653,19
4247,11694,15
4248,78884,113
4250,830,15
4250,2121,15
4250,8721,15
4250,17394,15
4250,20883,15
4250,29770,15
4256,62175,113
4279,45743,113
4284,3123,113
4293,26244,15
4293,38956,15
4293,43687,15
4293,64553,15
4293,74806,15
4293,76642,15
4293,90519,15
4302,27879,15
4302,60771,116
4316,1256,15
4316,1840,15
4316,2202,15
4316,7011,15
4316,15599,15
4316,37121,15
4316,37991,15
4316,55400,15
4316,88042,15
4317,17109,113
4326,112379,123
4328,10090,17
4333,53021,17
4357,32591,19
4360,108690,15
4369,6964,15
4369,22710,15
4369,24526,15
4369,27148,15
4376,88136,15
4386,37636,116
4399,110235,19
4400,4186,15
4413,110074,17
4422,72492,113
4424,5021,15
4424,8011,15
4424,14893,15
4424,50692,15
4436,60717,113
4436,104863,120
4445,8602,19
4469,84793,113
4471,103989,113
4472,9638,15
4472,18492,15
4472,29461,15
4472,44885,15
4497,17070,120
4506,110548,15
4515,33462,120
4532,1495,17
4537,5173,15
4537,10703,15
4537,12047,15
4537,13886,15
4537,18234,15
4537,24861,15
4537,30869,15
4537,50091,15
4537,105884,15
4547,8661,113
4548,4444,113
4548,11696,15
4548,105848,113
4557,45450,15
4576,64107,123
4581,51741,113
4586,3733,15
4586,17893,15
4586,21679,15
4586,28749,15
4586,37725,15
4586,40314,15
4586,42776,15
4586,44968,15
4586,45766,15
4586,50527,15
4586,52106,15
4586,55885,15
4586,55917,15
4586,61030,15
4586,77174,15
4586,81988,15
4602,2488,15
4602,4528,15
4602,4798,15
4602,6236,15
4602,6899,15
4602,8620,15
4602,10301,15
4602,11208,15
4602,11536,15
4602,11687,15
4602,15017,15
4602,15115,15
4602,16077,15
4602,16141,15
4602,16727,15
4602,30689,15
4602,38497,15
4602,56792,15
4602,61490,15
4602,62201,15
4615,52223,116
4616,40870,15
4652,39568,15
4652,100918,123
4657,45743,120
4669,6537,19
4676,30869,15
4684,424,15
4684,6727,15
4684,17831,15
4684,26938,15
4684,43122,15
4707,78743,17
4707,90647,116
4739,13649,15
4739,67130,15
4740,4741,15
4740,5024,15
4740,82119,15
4749,9252,120
4759,107030,113
4760,108779,15
4766,109622,17
4770,27729,116
4771,16828,15
