,Source,Target
91116,22307,27795
91119,22307,54045
91140,22309,7918
91148,22309,19847
91159,22309,54402
91165,22309,82914
91234,22322,22878
91235,22322,46983
91236,22322,55295
91266,22333,16167
91396,22365,50984
91401,22365,94564
91409,22368,27433
91439,22377,2069
91440,22377,8300
91441,22377,14126
91442,22377,26319
91443,22377,39742
91444,22377,42545
91445,22377,53756
91446,22377,56293
91447,22377,76850
91448,22377,83473
91449,22377,101013
91455,22383,37027
91576,22409,83861
91586,22409,111729
91645,22421,40707
91806,22453,11317
91828,22458,30185
91837,22460,39814
91871,22468,21782
91969,22497,18760
91970,22497,22362
91971,22497,27189
91972,22497,27482
91973,22497,35126
91974,22497,41170
91975,22497,45844
91976,22497,50924
91977,22497,55980
91978,22497,89888
91979,22497,94018
92041,22505,85787
92112,22516,44657
92198,22526,24093
92212,22531,62235
92234,22536,98130
92248,22541,77038
92373,22557,19371
92374,22557,34022
92375,22557,38088
92376,22557,66628
92377,22557,89047
92505,22580,105848
92518,22585,23598
92519,22585,46668
92520,22585,58898
92521,22585,104201
92580,22605,5772
92581,22605,7002
92582,22605,7659
92583,22605,8782
92584,22605,13162
92585,22605,34889
92586,22605,71848
92587,22605,84907
92588,22605,97374
92589,22605,108786
92606,22610,50497
92703,22631,91979
92705,22631,105306
92782,22640,4760
92783,22640,43498
92784,22640,45539
92785,22640,57292
92786,22640,74937
92862,22650,104487
92907,22661,22804
92926,22669,104700
92955,22675,10320
92963,22675,84370
92965,22676,47868
92990,22684,94543
93051,22701,30550
93052,22701,44685
93053,22701,60514
93054,22701,77279
93071,22704,48043
93072,22704,108461
93128,22720,68768
93187,22727,52472
93229,22738,17212
93230,22738,73851
93231,22738,77108
93232,22738,95821
93233,22738,107891
93277,22747,54944
93278,22747,61035
93298,22752,104700
93339,22754,112047
93383,22761,111737
93389,22762,62672
93444,22779,3990
93445,22779,20052
93446,22779,21458
93447,22779,23378
93448,22779,25181
93449,22779,25231
93450,22779,27106
93451,22779,27236
93452,22779,32866
93453,22779,33965
93454,22779,34227
93455,22779,37948
93456,22779,38694
93457,22779,41118
93458,22779,41514
93459,22779,43584
93460,22779,44999
93461,22779,46070
93462,22779,51940
93463,22779,55224
93464,22779,59932
93465,22779,65057
93466,22779,76885
93467,22779,83596
93468,22779,88929
93469,22779,101933
93470,22779,106945
93495,22790,101446
93511,22801,23104
93536,22808,82073
93547,22810,92578
93548,22811,103651
93628,22821,30735
93629,22821,63118
93630,22821,102083
93680,22837,110256
93708,22856,508
93742,22863,93922
93774,22874,16718
93775,22874,57466
93776,22874,63531
93777,22874,64048
93778,22874,67888
93779,22874,72055
93780,22874,82954
93781,22874,92397
93803,22881,45596
93863,22889,4874
93990,22920,108829
94022,22931,3126
94056,22936,13351
94064,22938,16451
94065,22938,41977
94066,22938,50671
94067,22938,78514
94068,22938,86579
94069,22938,86775
94136,22951,20923
94137,22951,22413
94138,22951,51383
94139,22951,60171
94140,22951,79809
94141,22951,90447
94268,22973,27435
94272,22973,85226
94273,22973,97112
94303,22986,12046
94311,22992,10201
94316,22992,72437
94322,22993,99882
94349,23001,40514
94382,23009,38932
94423,23016,57598
94429,23016,69364
94451,23018,384
94452,23018,2215
94453,23018,5789
94454,23018,8611
94455,23018,9009
94456,23018,14082
94457,23018,21947
94458,23018,32886
94459,23018,60364
94460,23018,61637
94461,23018,79202
94462,23018,89994
94463,23018,91194
94464,23018,92934
94465,23018,94207
94466,23018,96246
94522,23035,4203
94523,23035,8121
94524,23035,18373
94525,23035,18559
94526,23035,20015
94527,23035,34230
94528,23035,42484
94529,23035,55043
94530,23035,59019
94531,23035,59931
94532,23035,63393
94533,23035,67006
94534,23035,81200
94535,23035,81670
94536,23035,93410
94537,23035,97237
94538,23035,104183
94539,23035,110747
94600,23048,69392
94601,23048,106466
94632,23057,7109
94633,23057,12211
94634,23057,18079
94635,23057,19386
94636,23057,19555
94637,23057,21116
94638,23057,22134
94639,23057,34010
94640,23057,42584
94641,23057,45706
94653,23060,24532
94676,23061,17100
94677,23061,26841
94678,23061,35329
94679,23061,46391
94680,23061,51363
94681,23061,70009
94682,23061,70156
94683,23061,75302
94684,23061,102715
94696,23065,39683
94745,23075,7864
94780,23076,10595
94792,23079,88677
94801,23083,43338
94804,23083,96161
94817,23090,106559
94830,23092,43434
94862,23102,109684
94875,23104,101543
94904,23107,110631
94927,23117,108413
94928,23118,10268
94929,23118,11821
94930,23118,20671
94931,23118,22247
94932,23118,22727
94933,23118,29875
94934,23118,31666
94935,23118,32101
94936,23118,38530
94937,23118,43909
94938,23118,48958
94939,23118,51246
94940,23118,53133
94941,23118,55691
94942,23118,56740
94943,23118,56936
94944,23118,61518
94945,23118,62980
94946,23118,69078
94947,23118,71249
94948,23118,73056
94949,23118,78894
94950,23118,80962
94951,23118,83224
94952,23118,83391
94953,23118,83700
94954,23118,84845
94955,23118,84903
94956,23118,85244
94957,23118,85519
94958,23118,88236
94959,23118,88483
94960,23118,89244
94961,23118,91778
94962,23118,92434
94963,23118,93179
94964,23118,93499
94965,23118,94503
94966,23118,95216
94967,23118,95768
94968,23118,96137
94969,23118,96784
94970,23118,97048
94971,23118,98836
94972,23118,99984
94973,23118,100944
94974,23118,101220
94975,23118,102758
94976,23118,103246
94977,23118,103336
94978,23118,103864
94979,23118,103901
94980,23118,106818
94981,23118,108987
95021,23127,56445
95040,23127,110168
95121,23146,3347
95130,23148,58970
95216,23164,8191
95221,23166,12913
95264,23173,87462
95265,23174,8596
95266,23174,16586
95268,23174,71309
95269,23174,88347
95274,23175,83092
95275,23176,46028
95287,23178,57180
95292,23178,110700
95314,23186,26259
95331,23194,592
95332,23194,765
95333,23194,1680
95334,23194,3542
95335,23194,6889
95336,23194,8365
95337,23194,8587
95338,23194,8968
95339,23194,10010
95340,23194,11109
95341,23194,12020
95342,23194,13178
95343,23194,15167
95344,23194,16586
95345,23194,69325
95346,23194,76039
95347,23194,96732
95348,23194,107796
95402,23210,96099
95412,23213,200
95474,23229,97342
95481,23231,74287
95556,23251,28010
95557,23251,38521
95573,23259,51853
95574,23259,61664
95575,23259,67927
95576,23259,71787
95611,23269,92497
95626,23271,13257
95808,23302,16274
95864,23312,30148
95905,23323,18496
95906,23323,24533
95907,23323,37899
95908,23323,68044
95925,23326,81979
95966,23335,71178
95988,23342,22091
96025,23349,98495
96089,23367,97067
96090,23368,3493
96091,23368,5659
96212,23396,20456
96267,23416,29867
96268,23416,34936
96269,23416,46525
96270,23416,107247
96311,23427,14529
96312,23427,22465
96313,23427,65827
96356,23436,72284
96440,23455,1268
96449,23458,7178
96450,23458,19565
96451,23458,57376
96467,23461,108427
96491,23473,15327
96495,23473,33977
96506,23473,98054
96510,23473,106630
96537,23480,31868
96538,23480,50378
96539,23480,52564
96540,23480,70302
96541,23480,86172
96691,23508,15008
96698,23508,106521
96700,23510,22909
96738,23531,43882
96814,23552,7470
96829,23553,23043
96830,23553,23052
96831,23553,23616
96841,23554,41335
96850,23557,28431
96899,23569,7686
96900,23569,39466
96901,23569,43751
96902,23569,60098
96903,23569,73359
96905,23571,62322
96948,23578,97898
96958,23585,26827
96959,23585,30168
96960,23585,31439
96961,23585,40317
96962,23585,44080
96963,23585,51809
96964,23585,56187
96965,23585,59585
96966,23585,64447
96967,23585,65854
96968,23585,73559
96969,23585,73644
96970,23585,82273
96971,23585,83355
96972,23585,91859
96973,23585,94317
96974,23585,98221
97002,23591,15568
97003,23591,17344
97004,23591,74567
97009,23594,32531
97135,23608,111354
97141,23609,85585
97285,23625,44636
97300,23626,54497
97369,23642,41124
97373,23643,106445
97453,23660,32951
97465,23660,98757
97466,23660,98781
97472,23662,22458
97578,23687,33956
97579,23689,1377
97671,23718,17778
97697,23727,103989
97703,23729,44960
97704,23729,46705
97734,23739,93181
97739,23740,36068
97761,23747,89178
97803,23752,67803
97815,23754,77466
97836,23757,83328
97910,23768,29617
97911,23768,30628
97912,23768,47103
97913,23768,49806
97914,23768,51723
97915,23768,51726
97916,23768,52235
97917,23768,56059
97918,23768,60205
97919,23768,61631
97920,23768,68359
97921,23768,72572
97922,23768,80575
98082,23805,928
98083,23805,4490
98084,23805,14053
98085,23805,28193
98086,23805,35571
98087,23805,40072
98088,23805,43510
98089,23805,45743
98090,23805,55785
98091,23805,56665
98092,23805,66071
98093,23805,93033
98115,23810,75121
98119,23810,107066
98376,23833,48380
98404,23838,108236
98405,23839,15888
98406,23839,21512
98407,23839,22329
98408,23839,22942
98409,23839,58946
98415,23842,20758
98451,23851,88282
98458,23852,19713
98495,23862,101784
98501,23867,32967
98507,23869,18297
98526,23873,8936
98544,23878,1129
98545,23878,50947
98546,23878,56440
98547,23878,70383
98548,23878,70752
98549,23878,82563
98554,23881,6893
98565,23881,66251
98585,23887,86706
98602,23890,53967
98610,23890,67349
98630,23897,19313
98631,23897,27413
98632,23897,48264
98633,23897,62974
98634,23897,71625
98635,23897,100059
98650,23900,81317
98725,23927,23907
98739,23928,108690
98812,23945,28104
98814,23945,40097
98817,23945,91002
98818,23945,104210
98841,23953,16071
98842,23953,19388
98843,23953,27350
98844,23953,29736
98845,23953,34603
98846,23953,47753
98847,23953,82068
98848,23953,83517
98849,23953,86534
98925,23973,30214
99089,24010,14889
99110,24014,64369
99172,24029,5132
99173,24029,9689
99182,24029,85922
99230,24035,22624
99231,24035,29940
99232,24035,39679
99233,24035,39785
99234,24035,40175
99235,24035,45017
99236,24035,60521
99237,24035,61374
99238,24035,62138
99239,24035,68942
99240,24035,75531
99241,24035,76880
99242,24035,81448
99243,24035,85841
99244,24035,97162
99245,24035,104723
99285,24043,9175
99347,24059,49158
99352,24063,51910
99397,24071,71813
99399,24071,88974
99462,24081,11845
99618,24108,72846
99644,24117,64318
99661,24123,101082
99692,24128,28494
99702,24133,22814
99703,24133,27848
99704,24133,33702
99705,24133,37152
99706,24133,37290
99707,24133,41557
99708,24133,43844
99709,24133,47331
99710,24133,49593
99711,24133,50418
99712,24133,94642
99718,24134,104656
99739,24141,54856
99743,24143,32793
99776,24153,7489
99777,24153,21010
99778,24153,21489
99779,24153,24836
99780,24153,26401
99781,24153,26779
99782,24153,29370
99783,24153,48093
99784,24153,55913
99785,24153,84536
99786,24153,85147
99787,24153,86463
99788,24153,94342
99789,24153,94388
99790,24153,94899
99791,24153,99882
99792,24153,106638
99891,24174,53759
99949,24189,111139
99965,24197,55670
99975,24198,2899
100004,24207,519
100023,24212,38104
100061,24216,27986
100086,24221,76688
100118,24231,10293
100119,24231,29564
100162,24239,13694
100163,24239,84057
100164,24239,106398
100173,24242,3444
100178,24246,36575
100185,24249,20006
100186,24249,27522
100187,24249,91548
100199,24257,9876
100200,24257,18208
100201,24257,23979
100202,24257,60098
100203,24257,83045
100233,24269,24219
100234,24269,42212
100235,24269,72013
100236,24269,72116
100237,24269,72121
100284,24278,41984
100298,24280,42020
100301,24282,25150
100302,24282,48314
100337,24294,15448
100398,24300,22815
100399,24300,24556
100400,24300,45986
100401,24300,55826
100402,24300,58590
100403,24300,64048
100404,24300,79388
100405,24300,94153
100406,24300,111072
100407,24300,111621
100424,24308,37167
100475,24314,93567
100526,24336,44171
100568,24347,36100
100571,24350,70042
100572,24350,70437
100584,24357,3025
100642,24367,71751
100653,24368,80327
100674,24376,29045
100706,24389,18643
100720,24396,14370
100721,24396,50081
100749,24399,78421
100761,24403,99330
100793,24410,97871
100795,24410,111638
100834,24416,88725
100866,24425,112221
100897,24431,20993
100929,24438,19721
100938,24441,64348
100961,24444,73273
100974,24444,103964
100991,24448,65406
100996,24448,80313
101015,24455,11821
101016,24455,25163
101017,24455,32101
101018,24455,43025
101019,24455,48874
101020,24455,73325
101021,24455,76149
101022,24455,84690
101023,24455,95179
101024,24455,102645
101025,24455,110053
101050,24460,112250
101158,24509,31810
101182,24510,48140
101186,24510,85752
101190,24510,99153
101197,24513,99911
101317,24532,109009
101386,24547,29516
101387,24547,46569
101388,24547,77109
101419,24551,18809
101420,24551,61597
101500,24571,101712
101512,24575,13605
101513,24575,16897
101514,24575,25310
101515,24575,32158
101516,24575,38999
101517,24575,91525
101518,24575,102975
101521,24576,63167
101522,24576,80349
101574,24579,39257
101712,24608,1752
101713,24608,2804
101714,24608,12992
101715,24608,23810
101716,24608,34630
101717,24608,50757
101718,24608,51306
101719,24608,63908
101720,24608,93926
101721,24608,95470
101722,24608,97015
101723,24608,106532
101778,24619,103989
101889,24656,72899
101910,24663,97239
101927,24667,110538
101956,24677,13641
101957,24677,18566
101958,24677,19032
101959,24677,72962
101960,24677,93735
101961,24679,100021
101962,24679,105050
101989,24684,77759
101994,24686,772
101995,24686,6910
101996,24686,12449
101997,24686,23812
101998,24686,25050
101999,24686,70539
102000,24686,79351
102001,24686,79475
102002,24686,80057
102003,24686,88823
102004,24686,100221
102040,24702,91524
102056,24705,103187
102077,24710,69019
102084,24711,51498
102094,24713,63269
102097,24714,25764
102098,24714,54484
102099,24714,58955
102100,24714,80930
102101,24714,81988
102102,24714,82707
102103,24714,87598
102104,24714,103137
102105,24714,111735
102117,24721,18108
102120,24724,72854
102165,24740,110794
102166,24741,64107
102229,24761,3843
102230,24761,11466
102231,24761,14174
102232,24761,53310
102233,24761,81456
102234,24761,82155
102235,24761,102135
102236,24761,102711
102261,24768,68288
102265,24770,30869
102276,24779,21859
102309,24782,104863
102333,24783,103989
102338,24785,5700
102363,24791,34854
102364,24791,34858
102365,24791,44613
102415,24805,66516
102435,24810,8936
102449,24811,29823
102455,24811,48590
102631,24841,105431
102645,24848,16929
102646,24848,22233
102647,24848,26367
102648,24848,54249
102649,24848,75721
102650,24848,79706
102684,24855,16339
102690,24855,104987
102737,24861,111643
102787,24874,4007
102788,24874,13757
102789,24874,24550
102790,24874,55769
102791,24874,77281
102792,24874,79932
102802,24879,83262
102866,24901,6842
102867,24901,77375
102868,24901,77578
102869,24901,78085
102910,24920,52640
102911,24920,56470
102951,24929,8849
102953,24929,18492
102972,24933,35938
102983,24936,49030
102991,24937,46239
103002,24941,39632
103016,24945,48415
103017,24945,50645
103018,24945,76908
103019,24945,85847
103020,24945,110441
103030,24946,81087
103100,24966,87063
103104,24967,9723
103126,24971,75408
103129,24971,88136
103190,24986,60972
103227,24989,101970
103258,25002,28520
103260,25002,57211
103278,25014,14649
103290,25017,36091
103293,25017,66815
103300,25017,97417
103326,25021,13984
103349,25026,26299
103509,25066,100856
103585,25081,18505
103592,25083,43345
103721,25131,46124
103725,25131,98464
103726,25131,109967
103760,25143,38642
103767,25147,98966
103775,25150,8492
103776,25150,9274
103777,25150,9758
103778,25150,24282
103779,25150,25078
103780,25150,25451
103781,25150,30634
103782,25150,34453
103783,25150,48539
103804,25152,44800
103806,25153,100906
103994,25182,16386
104030,25186,71178
104031,25186,73721
104032,25186,95765
104057,25194,50751
104067,25195,38029
104096,25209,27469
104097,25209,28456
104098,25209,32290
104099,25209,48087
104100,25209,53239
104101,25209,54851
104102,25209,80715
104103,25209,89416
104137,25223,36793
104147,25225,36095
104220,25244,16869
104279,25262,63195
104300,25272,18005
104305,25273,102929
104365,25291,29939
104392,25304,8200
104394,25304,35138
104455,25332,1471
104460,25336,45420
104461,25336,57943
104479,25340,107425
104546,25358,15956
104547,25358,27016
104548,25358,60267
104549,25358,92462
104613,25387,13563
104649,25400,7897
104650,25400,18877
104654,25401,23401
104800,25428,32398
104813,25433,54312
104821,25435,12963
104850,25437,109501
104970,25461,12801
105018,25474,35870
105022,25475,109238
105053,25491,95126
105054,25491,101409
105163,25517,89306
105173,25521,39843
105214,25537,5729
105249,25554,111694
105265,25556,98334
105295,25563,26333
105296,25563,32134
105297,25563,36445
105300,25563,102239
105320,25575,68796
105424,25614,11801
105425,25614,22679
105426,25614,23410
105427,25614,28082
105428,25614,70993
105429,25614,85951
105430,25614,90937
105431,25614,98947
105432,25614,104435
105433,25614,107420
105434,25614,108692
105555,25644,27254
105574,25649,17696
105637,25671,49307
105646,25676,51563
105666,25683,45215
105708,25703,45279
105720,25710,18696
105762,25731,1264
105819,25757,70879
105820,25757,85998
105821,25757,95886
105822,25757,109916
105831,25759,50010
105833,25759,75163
105865,25767,11340
105900,25784,101687
105901,25784,110527
105930,25798,111506
106036,25835,3182
106044,25836,74519
106108,25861,55272
106138,25868,17696
106156,25875,47474
106157,25875,57598
106160,25875,90829
106161,25875,109123
106237,25880,77069
106296,25888,70107
106297,25888,100584
106298,25888,110935
106301,25891,5020
106326,25896,15032
106327,25896,38006
106328,25896,38586
106329,25897,12074
106330,25897,13935
106331,25897,29386
106332,25897,34325
106333,25897,41951
106397,25928,51407
106398,25928,90364
106399,25928,91081
106400,25928,98095
106410,25934,52497
106420,25941,73628
106442,25949,6297
106443,25949,68068
106495,25965,11000
106497,25965,16995
106498,25965,20699
106528,25965,106374
106531,25965,109829
106540,25974,27373
106577,25983,1686
106583,25987,33742
106584,25987,40286
106585,25987,51782
106586,25987,55604
106587,25987,57277
106588,25987,59238
106589,25987,62443
106590,25987,90535
106591,25987,92431
106592,25987,111060
106593,25987,112049
106637,26001,29765
106654,26006,34715
106660,26008,33981
106662,26011,22091
106671,26012,111932
106701,26020,40270
106732,26036,66790
106733,26036,93246
106838,26045,92403
106840,26045,99354
106842,26045,109296
106874,26055,108682
106885,26060,75766
106887,26061,21188
106900,26066,2571
106901,26066,6020
106902,26066,8965
106903,26066,12788
106904,26066,20332
106905,26066,27043
106906,26066,27435
106907,26066,32214
106908,26066,34751
106909,26066,36283
106910,26066,39097
106911,26066,47927
106912,26066,49208
106913,26066,58030
106914,26066,69903
106915,26066,72753
106916,26066,79213
106917,26066,87031
106918,26066,93541
106919,26066,94829
106920,26066,103336
106921,26066,104346
106922,26066,104353
106923,26066,104518
106924,26066,104880
106925,26066,108516
106932,26072,11845
106940,26074,3747
106975,26087,20556
107071,26116,29354
107072,26116,31473
107107,26127,92497
107108,26128,3022
107121,26131,97905
107161,26140,73745
107239,26155,103783
107296,26164,34727
107297,26164,45631
107298,26164,48074
107299,26164,58061
107300,26164,83401
107301,26164,98173
107319,26185,60413
107413,26216,2198
107414,26216,7378
107415,26216,18373
107416,26216,42545
107417,26216,81200
107516,26229,108630
107544,26235,15512
107570,26244,29638
107635,26259,109068
107649,26264,44912
107650,26264,47212
107651,26264,51390
107652,26264,89930
107656,26265,95460
107668,26268,83545
107707,26273,100326
107730,26276,69364
107740,26277,12296
107741,26277,23016
107742,26277,34910
107743,26277,36742
107744,26277,37840
107745,26277,42026
107746,26277,60050
107747,26277,60767
107748,26277,76297
107749,26277,80048
107750,26277,87261
107751,26277,95116
107752,26277,100281
107753,26277,102533
107754,26277,104725
107755,26277,106287
107756,26277,108857
107760,26281,41801
107761,26282,3746
107762,26282,3975
107763,26282,4644
107764,26282,10863
107765,26282,22162
107811,26292,12751
107812,26292,19633
107813,26292,37649
107814,26292,63093
107815,26292,65748
107816,26292,77680
107817,26293,17779
107818,26293,23279
107819,26293,51692
107840,26298,24117
107880,26313,24863
107927,26331,42557
107934,26333,25563
107955,26343,16964
107978,26346,36001
107986,26346,89381
108110,26375,77357
108230,26396,51990
108266,26401,97768
108277,26403,20744
108293,26403,66958
108355,26406,79847
108359,26409,72687
108360,26409,79452
108361,26409,81796
108362,26409,86963
108378,26414,100799
108519,26471,106934
108523,26472,16421
108535,26472,56858
108537,26472,71684
108571,26481,87506
108573,26481,96897
108579,26484,7547
108641,26505,1572
108643,26505,15029
108661,26509,97003
108718,26528,99958
108785,26549,31989
108834,26568,25296
108853,26572,84005
108863,26577,15639
108886,26583,34180
108891,26583,82456
108900,26585,11221
108901,26585,37252
108902,26585,56213
108903,26585,74611
108904,26585,75536
108922,26589,38469
108929,26589,79094
108932,26589,88189
108944,26589,106359
109090,26618,33701
109152,26638,59367
109153,26638,95712
109154,26638,100607
109158,26640,44255
109178,26645,102630
109241,26663,16659
109242,26663,22912
109243,26663,25962
109244,26663,29157
109245,26663,52641
109268,26668,59432
109285,26676,104963
109305,26687,88143
109327,26699,9876
109393,26711,62175
109396,26712,86384
109501,26733,42905
109502,26733,52778
109503,26733,84848
109504,26735,35189
109505,26735,62556
109506,26735,72765
109507,26735,86277
109559,26745,82386
109573,26753,13898
109580,26756,60053
109627,26774,68644
109741,26799,4060
109754,26804,95653
109755,26804,98646
109757,26805,4445
109810,26819,13115
109823,26823,45174
109890,26842,5179
109932,26846,10907
109995,26855,1127
109996,26855,10813
109997,26855,10969
109998,26855,21925
109999,26855,22423
110000,26855,46006
110001,26855,69839
110002,26855,92566
110003,26855,97058
110035,26864,107581
110057,26871,77357
110062,26873,31485
110063,26873,34769
110064,26873,58292
110116,26893,92050
110143,26907,38891
110144,26907,55630
110193,26931,109918
110242,26953,66617
110283,26982,26955
110288,26985,43338
110306,26990,4333
110307,26990,9641
110308,26990,11887
110309,26990,61091
110313,26993,108690
110319,26998,2173
110320,26998,2215
110331,26998,11544
110352,26998,79202
110356,26998,84167
110357,26998,84793
110358,26998,86854
110427,27022,2977
110436,27023,6910
110578,27051,7669
110596,27059,56508
110597,27059,75960
110598,27059,86739
110599,27059,87034
110600,27059,89006
110601,27059,102773
110625,27068,72759
110628,27069,73061
110655,27078,48021
110657,27078,71830
110679,27084,55060
110686,27084,81722
110688,27084,110266
110709,27091,44889
110722,27094,44906
110806,27107,50751
110822,27115,37584
110823,27115,60016
110824,27115,62581
110832,27121,21810
110915,27143,5271
110939,27145,39510
110951,27147,99759
110969,27151,96711
110986,27159,9348
110987,27159,9572
110988,27159,10143
110989,27159,12679
110990,27159,22490
110991,27159,26120
110992,27159,58772
110993,27159,59742
110994,27159,60323
110995,27159,61988
110996,27159,62698
110997,27159,75888
110998,27159,82552
110999,27159,86247
111000,27159,92635
111001,27159,93024
111002,27159,105831
111003,27159,112016
111041,27163,68295
111051,27168,7335
111054,27170,60762
111061,27173,41693
111180,27209,15098
111181,27209,16616
111182,27209,18816
111183,27209,23531
111184,27209,28892
111185,27209,38798
111186,27209,39875
111187,27209,47274
111188,27209,48296
111189,27209,53527
111190,27209,65713
111191,27209,67916
111192,27209,71519
111193,27209,76169
111194,27209,84007
111195,27209,86757
111203,27210,33701
111328,27236,29721
111577,27299,68305
111579,27300,40140
111625,27316,11053
111631,27316,95968
111686,27325,96003
111744,27330,100577
111745,27331,6110
111787,27347,6847
111866,27364,29858
111867,27364,41937
111868,27364,81065
111894,27371,96276
111900,27372,69940
111913,27373,60049
111922,27375,7708
111969,27382,75756
111973,27382,104963
111974,27383,21294
112026,27400,97450
112048,27405,96161
112141,27431,22901
112142,27431,51044
112143,27431,53436
112144,27431,54879
112145,27431,55237
112146,27431,59826
112147,27431,68941
112148,27431,80967
112149,27431,86571
112150,27431,87945
112151,27431,91528
112152,27431,92038
112153,27431,97005
112154,27431,102335
112155,27431,102773
112156,27431,104275
112157,27431,109231
112176,27443,42004
112395,27487,106909
112455,27504,64771
112500,27516,62712
112535,27522,24609
112605,27544,8111
112612,27548,37414
112626,27550,7805
112631,27551,91588
112645,27553,72949
112744,27564,42176
112746,27564,50972
112772,27575,92704
112773,27575,95098
112774,27575,102583
112799,27580,49987
112872,27607,62087
112874,27607,100215
112953,27624,10598
112954,27624,36755
112955,27624,97796
112956,27624,101363
112957,27624,111360
112974,27627,55541
113009,27630,14843
113054,27647,102854
113099,27657,8127
113157,27669,19270
113200,27689,7628
113219,27690,106626
113311,27704,74256
113336,27707,66838
113342,27709,16167
113350,27714,8121
113367,27715,11206
113368,27715,27155
113374,27719,14705
113375,27719,35321
113376,27719,42922
113377,27719,47641
113564,27755,74395
113665,27792,83566
113741,27807,65921
113810,27826,82633
113847,27841,72310
113856,27846,15512
113945,27870,103498
113958,27879,16067
113998,27888,27517
113999,27888,28083
114000,27888,55849
114012,27894,52297
114031,27903,1401
114032,27903,2538
114033,27903,5390
114034,27903,20233
114035,27903,30544
114036,27903,34130
114037,27903,41950
114038,27903,54004
114039,27903,60685
114040,27903,64518
114041,27903,65214
114042,27903,71111
114043,27903,76498
114044,27903,79768
114045,27903,93425
114053,27905,98583
114054,27905,102005
114148,27923,70934
114216,27937,1350
114219,27937,5184
114377,27978,66363
114378,27978,67142
114379,27978,80388
114380,27978,87618
114423,27986,24216
114522,28010,13722
114550,28018,9788
114574,28018,103914
114578,28019,85721
114605,28027,29244
114628,28035,41554
114632,28036,26299
114648,28037,1438
114649,28037,28598
114650,28037,42525
114651,28037,48935
114652,28037,55317
114653,28037,74723
114654,28037,84065
114655,28037,85015
114656,28037,101670
114657,28037,102773
114658,28037,103939
114715,28051,31735
114747,28068,10150
114748,28068,76119
114769,28071,65467
114807,28081,100633
114844,28086,52562
114873,28091,98083
114874,28092,85952
114915,28104,24579
114927,28104,104505
114931,28108,1264
114937,28109,5090
114938,28109,8703
114939,28109,30419
114940,28109,34406
114970,28116,64104
114975,28116,111255
114989,28119,81572
115053,28134,80619
115066,28136,87953
115115,28144,87411
115122,28145,73051
115123,28147,54014
115124,28147,56741
115160,28159,61981
115162,28159,106447
115163,28159,111282
115212,28187,95300
115213,28187,95711
115219,28187,110605
115274,28208,68390
115292,28213,109026
115298,28217,11343
115299,28217,26425
115300,28217,44769
115301,28217,47906
115302,28217,97765
115371,28236,16869
115407,28244,75391
115413,28246,14386
115414,28246,18658
115415,28246,24710
115416,28246,26702
115417,28246,28697
115418,28246,31677
115419,28246,36881
115420,28246,40452
115421,28246,50129
115422,28246,51508
115423,28246,57159
115424,28246,57583
115425,28246,57925
115426,28246,71085
115427,28246,90270
115428,28246,95396
115492,28262,86100
115494,28262,98821
115497,28262,112403
115551,28272,86210
115553,28275,7048
115679,28306,17787
115698,28313,70143
115709,28314,38743
115726,28314,106648
115740,28324,87503
115744,28325,7164
115750,28325,64107
115786,28330,49619
115798,28333,24710
115799,28333,39078
115800,28333,54986
115801,28333,73340
115842,28354,32718
115846,28355,28515
115872,28366,75264
115893,28376,71751
115900,28381,53745
115901,28381,92901
115902,28381,97041
115912,28383,61274
115913,28383,66200
115920,28387,17230
116035,28427,30040
116045,28431,41695
116106,28451,74956
116248,28489,48498
116249,28489,48952
116284,28492,52095
116312,28493,5617
116343,28495,9600
116344,28495,10658
116345,28495,12948
116346,28495,45049
116347,28495,88012
116348,28495,101304
116402,28512,6167
116416,28518,2934
116418,28520,25002
116433,28522,33210
116451,28525,32967
116497,28529,79826
116547,28533,34821
116549,28533,68762
116577,28544,85906
116578,28544,93497
116633,28556,26273
116644,28562,66483
116655,28572,84044
116667,28575,33163
116718,28581,46336
116719,28581,51800
116777,28598,28037
116795,28602,38104
116803,28602,110804
116852,28617,87864
116898,28634,111139
116930,28647,23440
116931,28647,65135
117029,28665,67821
117114,28688,23552
117115,28688,27807
117119,28688,34840
117126,28688,98964
117176,28695,2097
117409,28746,111722
117447,28762,80016
117477,28773,26836
117547,28781,18791
117548,28781,33498
117549,28781,46340
117550,28781,46671
117551,28781,55789
117634,28797,28116
117635,28797,36135
117642,28799,16448
117643,28799,109178
117649,28802,88696
117790,28830,32539
117807,28834,107753
117857,28849,94509
117890,28853,10207
117913,28858,67633
117942,28873,19247
117960,28876,20658
117961,28876,47310
117962,28876,65826
117963,28876,70273
117964,28876,83667
117965,28876,85966
117966,28876,90131
117969,28879,29060
117998,28895,52577
117999,28895,53566
118000,28895,110629
118025,28908,80016
118200,28963,35376
118201,28963,56472
118202,28963,68847
118233,28975,93516
118252,28983,7707
118253,28983,23062
118254,28983,42359
118255,28983,65130
118256,28983,92308
118257,28983,92910
118258,28983,94570
118259,28983,101408
118310,28999,97342
118340,29008,6292
118364,29013,101491
118371,29015,64258
118387,29016,74458
118401,29018,64258
118425,29022,28314
118450,29026,22684
118468,29031,338
118480,29032,8716
118488,29032,51256
118499,29034,22143
118500,29034,49013
118501,29034,49062
118502,29034,49084
118503,29034,68388
118504,29034,68390
