,Source,Target
5957,1501,81140
5958,1501,93920
5959,1501,96299
5960,1501,105280
6000,1519,35965
6107,1542,38566
6177,1567,27206
6199,1572,10182
6255,1596,39341
6380,1624,761
6381,1624,968
6382,1624,1035
6383,1624,1058
6384,1624,2369
6385,1624,2587
6386,1624,11354
6387,1624,16291
6388,1624,86456
6507,1652,94378
6514,1654,8343
6612,1686,926
6693,1716,9359
6694,1716,98740
6796,1739,6244
6797,1739,9912
6798,1739,16232
6799,1739,73321
6820,1747,550
6823,1750,4336
6825,1752,3291
6826,1752,4269
6827,1752,5210
6828,1752,11000
6829,1752,12118
6830,1752,24608
6831,1752,31287
6832,1752,39401
6833,1752,41899
6834,1752,48958
6835,1752,53312
6836,1752,70879
6837,1752,87889
6838,1752,93926
6839,1752,95325
6840,1752,96474
6841,1752,101793
6842,1752,104350
6845,1754,2666
6846,1754,6853
6847,1754,32119
6848,1754,81589
6849,1754,83348
6865,1758,87531
6876,1763,36512
6919,1774,30178
6946,1782,74633
6959,1788,9078
7057,1812,364
7058,1812,370
7059,1812,411
7060,1812,1062
7061,1812,1768
7062,1812,2521
7063,1812,3690
7064,1812,5024
7065,1812,10339
7066,1812,16800
7067,1812,19665
7068,1812,82119
7072,1814,29221
7073,1814,33951
7074,1814,80878
7075,1814,97866
7076,1814,99519
7077,1814,100483
7103,1824,3841
7106,1824,17523
7135,1836,3481
7172,1839,2528
7193,1840,14559
7229,1845,41676
7269,1857,4202
7270,1857,19541
7271,1857,63931
7293,1865,17367
7317,1869,84527
7343,1879,633
7344,1879,689
7346,1879,2430
7350,1879,82535
7386,1891,75878
7495,1903,50090
7496,1903,96956
7533,1912,88146
7653,1950,7497
7813,1999,1340
7844,2004,174
7848,2004,18998
7849,2004,20256
7863,2007,80591
7894,2014,2329
7895,2014,8237
7896,2014,9379
7897,2014,41443
7944,2028,108223
7953,2037,107066
8019,2053,8618
8021,2053,19847
8041,2061,6862
8063,2065,6905
8131,2081,44104
8148,2087,6651
8149,2087,17659
8150,2087,19703
8151,2087,20001
8152,2087,23442
8153,2087,23873
8154,2087,25646
8155,2087,26234
8156,2087,29626
8157,2087,39800
8158,2087,59850
8159,2087,68147
8160,2087,91411
8438,2163,110794
8487,2168,110074
8488,2170,1250
8489,2170,35625
8500,2173,1737
8576,2190,102771
8599,2196,2998
8619,2199,2249
8620,2199,8098
8621,2199,25399
8622,2199,36661
8623,2199,95779
8624,2199,96826
8684,2215,15258
8781,2246,8096
8881,2272,14217
9045,2300,76
9084,2313,22175
9088,2313,64202
9111,2316,102787
9151,2330,97245
9164,2333,79116
9215,2340,697
9257,2347,20884
9281,2354,36066
9391,2370,2047
9414,2378,2681
9478,2397,8219
9486,2398,7135
9501,2400,101491
9520,2402,27695
9525,2404,52014
9550,2414,43290
9574,2421,65507
9576,2423,891
9582,2423,34890
9666,2451,792
9667,2451,1120
9668,2451,3323
9669,2451,18266
9670,2451,22162
9727,2467,406
9761,2486,82552
9819,2496,77945
9824,2499,108690
9882,2515,40980
9884,2515,59743
9885,2515,92416
9896,2521,1812
9923,2526,40592
10098,2564,1793
10099,2564,15323
10100,2564,17489
10101,2564,78443
10102,2564,83493
10103,2564,93925
10121,2570,29732
10127,2571,14410
10128,2571,26471
10129,2571,75819
10130,2571,82896
10131,2571,87026
10132,2571,101749
10133,2571,106023
10134,2571,111629
10155,2577,681
10156,2577,1384
10157,2577,2305
10158,2577,2398
10159,2577,2972
10160,2577,4519
10161,2577,4644
10162,2577,4875
10163,2577,7679
10164,2577,10047
10165,2577,10410
10166,2577,81065
10167,2577,100837
10246,2605,43568
10256,2609,85751
10269,2613,105926
10276,2614,60584
10281,2615,34123
10282,2615,35508
10313,2624,4410
10380,2643,66162
10406,2649,2515
10410,2649,5719
10412,2649,5930
10416,2649,22013
10441,2656,110794
10500,2685,280
10501,2685,4659
10502,2685,14533
10509,2688,7889
10511,2688,47044
10530,2692,60364
10545,2698,131
10578,2708,4241
10591,2713,406
10702,2746,83762
10811,2768,7076
10840,2777,3869
10853,2780,46425
10906,2806,64395
10911,2807,8074
10915,2809,4863
10965,2818,108655
11153,2872,25458
11176,2877,30144
11226,2886,36614
11240,2886,105712
11247,2889,11295
11298,2912,17547
11329,2916,22013
11376,2921,30248
11462,2947,4191
11463,2947,4248
11464,2947,11732
11465,2947,14364
11466,2947,14801
11467,2947,19915
11468,2947,40158
11469,2947,42424
11470,2947,50969
11471,2947,70311
11482,2950,14784
11483,2950,45922
11484,2950,74788
11500,2954,22273
11514,2958,4890
11559,2966,30869
11597,2973,110074
11668,2994,8290
11689,2998,2196
11695,2999,6880
11768,3010,11696
11784,3014,46451
11807,3019,1314
11876,3044,7745
11893,3044,45487
11907,3047,4548
11908,3047,5074
11909,3047,6751
11910,3047,11556
11911,3047,12622
11912,3047,15317
11913,3047,20381
11914,3047,21706
11923,3054,45391
11924,3054,78626
11925,3054,78628
11934,3057,8200
11976,3074,9815
12027,3087,27609
12028,3087,57658
12029,3087,87503
12055,3096,14600
12077,3103,30900
12112,3114,40402
12127,3116,45420
12198,3125,5562
12199,3125,44896
12227,3136,27717
12251,3138,103181
12289,3150,67266
12435,3184,8189
12440,3187,1541
12441,3187,2158
12442,3187,2373
12443,3187,5222
12444,3187,43413
12445,3187,47443
12446,3187,105647
12504,3190,92321
12522,3196,45637
12523,3196,84724
12524,3196,104272
12610,3221,2488
12611,3221,2853
12612,3221,4528
12613,3221,4964
12614,3221,10193
12615,3221,11284
12616,3221,11687
12617,3221,14363
12618,3221,16077
12619,3221,16141
12620,3221,16727
12621,3221,19845
12622,3221,26217
12623,3221,28611
12624,3221,29876
12625,3221,43727
12626,3221,49062
12627,3221,49084
12628,3221,58633
12629,3221,70358
12630,3221,84079
12631,3221,84292
12632,3221,88884
12633,3221,89717
12634,3221,95507
12699,3234,1444
12700,3234,2016
12701,3234,15250
12702,3234,43861
12710,3238,3629
12711,3238,5015
12712,3238,8218
12713,3238,14626
12714,3238,15097
12765,3250,1256
12772,3251,3681
12879,3264,83746
12891,3266,95661
12912,3271,28961
12922,3275,2118
12964,3289,48154
12990,3291,108991
13017,3302,111295
13035,3313,65131
13079,3331,649
13111,3342,44960
13112,3342,46705
13132,3347,4890
13135,3347,31014
13136,3347,34527
13145,3347,93084
13157,3350,8250
13166,3352,1572
13176,3353,2399
13272,3373,440
13274,3373,1892
13286,3373,25294
13351,3389,4908
13352,3389,6322
13353,3389,39297
13354,3389,77560
